Id|Description|Speaker|Text
InspectBedroom_QuestLog|Inspect Bedroom Quest Log|Storyteller|{#DialogueItalicFormat}O Príncipe supersticioso quanto ao destino acredita que foi por sua própria escolha que comprou a Lista Profetizada das Pequenas Profecias, mas tudo já estava planejado.
Flashback01|Flashback 01|Storyteller|{#DialogueItalicFormat}Tudo está calmo no momento; o eterno sonhador Hipnos lançou um feitiço na Casa, a pedido do próprio Zagreu. Todos caíram no sono rapidamente, exceto pelo Príncipe. Exatamente como ele planejou.
Inspect_DeathAreaBedroomHades_Portrait_01|Inspect Death Area Bedroom Hades Portrait 01|Storyteller|{#DialogueItalicFormat}Nos aposentos extremamente restritos de seu Lorde Pai, Zagreu, o Príncipe que sempre remove todos os cadeados que encontra, descobriu uma belíssima e delicada pintura de ninguém menos que de Perséfone em pessoa. Uma camada de poeira sugere que permaneceu ali por algum tempo.
Inspect_DeathAreaBedroomHades_Capes_01|Inspect Death Area Bedroom Hades Capes 01|Storyteller|{#DialogueItalicFormat}O estoico Lorde e Mestre da Casa possui riquezas além da compreensão, uma porção da qual ele usou para um fino conjunto de vestimentas para cada dia que passa.
Inspect_DeathAreaOffice_Teleporter_01|Inspect Death Area Office Teleporter 01|Storyteller|{#DialogueItalicFormat}Nos recessos da câmara administrativa se encontra a Runa Ancestral do Mestre da Casa: um símbolo da autoridade, concedida pelas Moiras, que ele possui para governar sob a terra, e a forma pela qual ele pode rapidamente navegar os muitos recintos de seu reino sombrio.
Inspect_DeathAreaOffice_WaterCooler01|Inspect Death Area Office Water Cooler 01|Storyteller|{#DialogueItalicFormat}As frescas e purificadas águas do Estige estão disponíveis em quantidade ilimitada para todos os servos do deus dos mortos autorizados a trabalhar eternamente na câmara administrativa da Casa.
Inspect_DeathAreaOffice_Poster_01|Inspect Death Area Office Poster 01|Storyteller|{#DialogueItalicFormat}As sempre esforçadas sombras na câmara administrativa continuam plenamente dedicadas a seu trabalho ingrato, tudo graças à representação inspiradora de quão dedicados todos deveriam ser.
Inspect_DeathAreaOffice_SealedContract_01|Inspect Death Area Office Sealed Contract 01|Storyteller|{#DialogueItalicFormat}Entre os registros imortalizados em papiro dos mortos e punidos estão os documentos conhecidos como A Sentença do Rei-Trapaceiro, que força dito rei a empurrar uma rocha sem descanso por toda a eternidade.
Inspect_DeathAreaOffice_SealedContract_02|Inspect Death Area Office Sealed Contract 02|Storyteller|{#DialogueItalicFormat}Escondido entre as torres de papirada administrativa dos mortos-há-muito-tempo, está um velho documento sobre um pacto especial assinado por um músico antes vivo, que tentou em vão resgatar sua esposa da morte.
Inspect_DeathAreaOffice_SealedContract_03|Inspect Death Area Office Sealed Contract 03|Storyteller|{#DialogueItalicFormat}Enterrado profundamente dentre os arquivos, aonde residem muitos pactos contratuais entre Lorde Hades e os mortos, se encontra um velho pergaminho; um acordo com um extraordinário guerreiro, oferecendo sua eterna servidão em troca de eterna estadia de seu querido companheiro no Elísio.
Flashback_DayNightJob_Office_01|Flashback Day Night Job Office 01|Storyteller|{#DialogueItalicFormat}As tarefas do dia (ou noite) são extremamente simples; pelo menos a princípio, como quando o príncipe bate o ponto para sinalizar o começo de seu turno.
Flashback_DayNightJob_Office_02|Flashback Day Night Job Office 02|Storyteller|{#DialogueItalicFormat}O frequentemente frustrado príncipe tenta categorizar registros da forma necessária para a manutenção ideal do domínio de seu pai.
Flashback_DayNightJob_Office_03|Flashback Day Night Job Office 03|Storyteller|{#DialogueItalicFormat}Os esforços do príncipe despreparado em administrar aprovações para os termos de julgamento deixa muito a desejar.
Flashback_DayNightJob_Office_04|Flashback Day Night Job Office 04|Storyteller|{#DialogueItalicFormat}As sombras trabalhadoras responsáveis pela administração do reino do pai do príncipe meramente observam suas tristes tentativas de trabalhar.
Flashback_DayNightJob_Office_05|Flashback Day Night Job Office 05|Storyteller|{#DialogueItalicFormat}O príncipe amante de sossego nunca prestou muita atenção em aprender da maneira correta como organizar os livros de registro de cada região do domínio de seu pai.
Flashback_DayNightJob_Office_06|Flashback Day Night Job Office 06|Storyteller|{#DialogueItalicFormat}Este conjunto de delicadas responsabilidades é facilmente resolvido, pelo menos por alguém capaz e treinado o bastante para o serviço, ao contrário do normalmente distraído Príncipe do Submundo.
Flashback_DayNightJob_Office_07|Flashback Day Night Job Office 07|Storyteller|{#DialogueItalicFormat}Um cuidadoso registro precisa ser feito de todos os gastos realizados na Casa; um processo de tabulação complexo e sofisticado que o príncipe é despreparado para realizar com sucesso.
Flashback_DayNightJob_Office_08|Flashback Day Night Job Office 08|Storyteller|{#DialogueItalicFormat}Um registro bem atualizado dos lucros da casa, na forma de brilhantes joias, diamantes, Escuridão e outras formas de pagamento está entre os aspectos do trabalho mais detestados pelo príncipe.
Flashback_DayNightJob_Office_09|Flashback Day Night Job Office 09|Storyteller|{#DialogueItalicFormat}Registros de renovações vencidas do Empreiteiro da Casa cobrem uma mesa na câmara administrativa, embora o príncipe não tenha qualquer vontade de organizá-las alfabeticamente, e por data.
Flashback_DayNightJob_Office_10|Flashback Day Night Job Office 10|Storyteller|{#DialogueItalicFormat}Registros de presença das sombras trabalhadoras que servem a Casa precisam ser verificadas; a remuneração devida a cada sombra, rapidamente aprovada; ainda assim o príncipe não consegue se lembrar de todas as etapas necessárias.
Flashback_DayNightJob_Office_11|Flashback Day Night Job Office 11|Storyteller|{#DialogueItalicFormat}O desordeiro Príncipe Zagreu encara as infinitas pilhas de rolos de papiro, cada um contendo detalhes de trabalho que devem ser registrados e devidamente organizados, e começa a sentir seu otimismo se esvair.
Flashback_DayNightJob_Office_12|Flashback Day Night Job Office 12|Storyteller|{#DialogueItalicFormat}Príncipe Zagreu certamente deve ter algum tipo de tarefa que goste na câmara administrativa da Casa; mas definitivamente nenhuma delas estão incluídas entre as tarefas que demandam sua atenção no momento.
Flashback_DayNightJob_Office_13|Flashback Day Night Job Office 13|Storyteller|{#DialogueItalicFormat}Revisar listas de declarações de Sombras com queixas é um serviço de grande importância na Casa, ou pelo menos é o que Lorde Hades tentou convencer seu filho teimoso que era o caso.
Flashback_DayNightJob_Office_14|Flashback Day Night Job Office 14|Storyteller|{#DialogueItalicFormat}Uma pilha de queixas enviadas pelas sombras inquietas por todos o Submundo precisam ser avaliadas, organizadas e processadas, mas o Príncipe Zagreu nem sabe por onde começar.
Flashback_DayNightJob_Office_15|Flashback Day Night Job Office 15|Storyteller|{#DialogueItalicFormat}Suprimentos em todas as escrivaninhas na câmara administrativa devem ser cuidadosamente organizados e mantidos de forma específica, forma essa que o príncipe esquecido não conseguiu decorar.
Flashback_DayNightJob_Office_16|Flashback Day Night Job Office 16|Storyteller|{#DialogueItalicFormat}Relatórios de segurança sobre tentativas falhas de fuga do Tártaro necessitam de verificação ágil e uma resposta oficial, e nenhuma das opções Príncipe Zagreu está apto a dar.
Flashback_DayNightJob_Office_Conclusion_01|Flashback Day Night Job Office Conclusion 01|Storyteller|{#DialogueItalicFormat}Enfim, o príncipe ressentido de ter que trabalhar esboça um resumo dos resultados de suas tentativas de ser de qualquer utilidade nos trabalhos administrativos da Casa de seu sombrio pai.
InspectPreRun01|Inspect Pre Run 01|Storyteller|{#DialogueItalicFormat}O pátio da Casa de Hades é mantido limpo e organizado, ao contrário da terrível área que fica além do terreno.
MinotaurAutograph01|Minotaur Autograph 01|Minotaur|{#DialogueItalicFormat}Ah{#PreviousFormat}. Sinto que outra batalha furiosa nos espera por aqui, baixinho. Embora você esteja mais curioso do que o normal...
MinotaurAutograph01|Minotaur Autograph 01|Zagreus|{#DialogueItalicFormat}Uhh{#PreviousFormat}, ah! É que, eu tenho um pedido estranho. Sabe, o deus do sono, Hipnos? Meu colega. Grande fã. Ele precisa desesperadamente do seu autógrafo. Uma mensagem personalizada? Não sei se poderia fazer essa gentileza. Significaria muito para ele.
MinotaurAutograph01|Minotaur Autograph 01|Minotaur|Autógrafo. Sei. Então, parece que alguns deuses me favorecem. Vou escrever algo para o seu colega, então.
MinotaurAutograph01|Minotaur Autograph 01|Storyteller|{#DialogueItalicFormat}O Minotauro escreve num pergaminho uma breve mensagem ao deus do sono, e o entrega ao príncipe.
MinotaurAutograph01|Minotaur Autograph 01|Minotaur|Baixinho, você sabe que esse favor é para você e não para Hipnos. Embora ele possa me desafiar, a qualquer momento.
HadesMiscMeeting07|Hades Misc Meeting 07|Hades|Ora, mal posso acreditar no que vejo. É você, garoto?! Cérbero, veja quem é, ele voltou!
HadesMiscMeeting07|Hades Misc Meeting 07|Storyteller|{#DialogueItalicFormat}Cérbero lança um olhar pesaroso ao Príncipe.
HadesMiscMeeting07|Hades Misc Meeting 07|Zagreus|Não precisa envolver o cachorro nisso, pai.
HadesMiscMeeting07|Hades Misc Meeting 07|Hades|Tudo o que tiver para me dizer, pode dizer na frente de Cérbero! Você pode até aprender uma coisa ou outra com ele sobre ouvir e obedecer!
CerberusMiscMeeting01|Cerberus Misc Meeting 01|Storyteller|{#DialogueItalicFormat}O cão de guarda infernal, Cérbero, encara o Príncipe do Submundo com emoções confusas, da mais pura alegria à mais profunda melancolia.
CerberusMiscMeeting01|Cerberus Misc Meeting 01|Zagreus|Vai cuidar das coisas para mim, não vai, garoto? Você sabe que eu te levaria se pudesse.
CerberusMiscMeeting02|Cerberus Misc Meeting 02|Zagreus|Como você está, garoto, comendo bem ultimamente? Todas as três bocas cheias e felizes?
CerberusMiscMeeting02|Cerberus Misc Meeting 02|Storyteller|{#DialogueItalicFormat}Cada boca aterrorizante do cão de guarda infernal, Cérbero, responde afirmativamente, uma após a outra, como se quisesse tranquilizar o precavido príncipe.
CerberusMiscMeeting03|Cerberus Misc Meeting 03|Zagreus|Calma, garoto. Eu provavelmente voltarei aqui logo logo.
CerberusMiscMeeting03|Cerberus Misc Meeting 03|Storyteller|{#DialogueItalicFormat}O cão de guarda, Cérbero, fica de mau humor em sua cama flexível.
CerberusMiscMeeting04|Cerberus Misc Meeting 04|Zagreus|Fique de olho no pai para mim, garoto. Não deixe que ele azede o humor de todos.
CerberusMiscMeeting04|Cerberus Misc Meeting 04|Storyteller|{#DialogueItalicFormat}Cérbero promete fazer exatamente isso, à sua maneira.
CerberusMiscMeeting05|Cerberus Misc Meeting 05|Zagreus|Como tudo está indo ultimamente, garoto? Quais as novidades?
CerberusMiscMeeting05|Cerberus Misc Meeting 05|Storyteller|{#DialogueItalicFormat}O questionamento casual do Príncipe do Submundo serve apenas para frustrar o cão infernal, já que nenhuma de suas três cabeças possui o dom e a maldição da fala.
CerberusRunProgress01|Cerberus Run Progress 01|Zagreus|Ei, garoto, sou eu de novo. Passei aqui para dizer que é muito perigoso lá fora, mesmo sem você de guarda o tempo todo.
CerberusRunProgress01|Cerberus Run Progress 01|Storyteller|{#DialogueItalicFormat}O venerável cão do inferno mal reconhece a platitude do Príncipe de fala mansa, sabendo muito bem que o Submundo não é guardado com tanta vigilância quanto nas eras passadas.
CerberusRunProgress02|Cerberus Run Progress 02|Zagreus|Adivinhe só, garoto? Cheguei até Asfódelo da última vez! Eu entendo perfeitamente porque você nunca gostou de lá. Agora, de volta ao trabalho, eu acho. Tome cuidado!
CerberusRunProgress02|Cerberus Run Progress 02|Storyteller|{#DialogueItalicFormat}Apesar do otimismo do Príncipe do Submundo, seu velho companheiro Cérbero, o cão de várias cabeças, mantém uma atitude um pouco aborrecida por enquanto.
CerberusRunProgress03|Cerberus Run Progress 03|Zagreus|Ei, que bom vê-lo de novo aqui, garoto. Estou feliz por você estar de volta de guarda! Mesmo que isso signifique ter de passar por você. Eu sei que você só está fazendo seu trabalho.
CerberusRunProgress03|Cerberus Run Progress 03|Storyteller|{#DialogueItalicFormat}O temeroso cão infernal olha inquieto para o Príncipe do Submundo, com seus seis olhos ferozes brilhando sob a luz fraca da Casa.
CerberusAboutFastTravel01|Cerberus About Fast Travel 01|Zagreus|Espero não estar te incomodando muito com todas estas visitas ao Templo ultimamente, garoto. Me diga, como você volta? O Caronte te dá carona?
CerberusAboutFastTravel01|Cerberus About Fast Travel 01|Storyteller|{#DialogueItalicFormat}Assim perguntou o Príncipe ao guardião das portas do inferno, sabendo muito bem que o monstro de várias cabeças mantém distância do barqueiro, como todos que têm bom senso fazem.
CerberusAboutBall01|Cerberus About Ball 01|Zagreus|Tá gostando de encarar a bola que te dei, garoto? Não é tão divertido quando não revidam, né?
CerberusAboutBall01|Cerberus About Ball 01|Storyteller|{#DialogueItalicFormat} O monstro infernal de várias cabeças não sente vontade nenhuma de gastar seu tempo precioso em simples brinquedos, preferindo conservar sua vasta reserva de energia se precisar devorar um invasor repentinamente.
CerberusLoungeClosed01|Cerberus Lounge Closed 01|Zagreus|Você deixou mesmo o saguão em pedaços, garoto? Espero que você não tenha se metido em muitos problemas. Sinto muito por deixá-lo preocupado assim.
CerberusLoungeClosed01|Cerberus Lounge Closed 01|Storyteller|{#DialogueItalicFormat}O monstro culpado, Cérbero, admite ter cometido o crime, expressando algum remorso por ter implicado o incendiário Príncipe.
CerberusLoungeOpen01|Cerberus Lounge Open 01|Zagreus|Ei, você viu, garoto? O saguão antigo está novinho novamente, você precisa dar uma olhada! Só, não destrua nada como fez da última vez.
CerberusLoungeOpen01|Cerberus Lounge Open 01|Storyteller|{#DialogueItalicFormat}Cada semblante selvagem de Cérbero brilha ao ouvir a notícia, sem dúvida começando a montar estratégias para devastar novamente o saguão.
CerberusAboutUnderworldRenovations01|Cerberus About Underworld Renovations 01|Zagreus|Ei, garoto. Eu espero que todas as reformas por aqui ultimamente não estejam te incomodando muito. Mas veja só, o saguão está quase pronto pra você destruir tudo de novo!
CerberusAboutUnderworldRenovations01|Cerberus About Underworld Renovations 01|Storyteller|{#DialogueItalicFormat}O Príncipe Zagreu deixa o cão vigia vicioso e impressionável do Submundo com um apetite por destruição a ser saciado em outra época.
CerberusAboutBeingBestBoy01|Cerberus About Being Best Boy 01|Zagreus|Sabe que depois de morrer de forma horrível, acariciar meu bom garoto me ajuda a me recompor bastante. Obrigado por sempre estar aqui por mim.
CerberusAboutBeingBestBoy01|Cerberus About Being Best Boy 01|Storyteller|{#DialogueItalicFormat}As chamas nos olhos do monstruoso Cérbero, notório cão do inferno, revelam que ele também gosta dos carinhos dos quais o Príncipe do Submundo fala. E na verdade, é profundamente grato por receber tantos.
CerberusAboutPersephone01|Cerberus About Persephone 01|Zagreus|Eu encontrei ela, garoto! Minha mãe! Perséfone, você se lembra dela, não é? Ela ficou feliz de ouvir notícias suas. Mas eu não pude ficar por muito tempo, e tenho que encontrá-la de novo, então... acho que te vejo no Templo, não é mesmo?
CerberusAboutPersephone01|Cerberus About Persephone 01|Storyteller|{#DialogueItalicFormat}As expressões ferozes do muitíssimo ultrajado cão do inferno todas se acalmaram instantaneamente ao ouvirem a menção de um certo nome; brevemente, então, o monstro ficou em paz.
CerberusPostEnding01|Cerberus Post Ending 01|Zagreus|Olha só pra você, garoto! Nunca te vi tão animado assim, em comparação, é claro - um rapaz grande e forte como você. Você deve ter sentido falta da Mãe assim como ela de você. Bom, agora você tem bastante tempo para colocar o papo em dia!
CerberusPostEnding01|Cerberus Post Ending 01|Storyteller|{#DialogueItalicFormat}A monstruosa besta de três cabeças de Hades talvez seria completamente arrebatada de pura emoção pelas felizes circunstâncias, se apenas fosse capaz de tal.
CerberusPostEnding02|Cerberus Post Ending 02|Zagreus|Aposto que você está feliz em ver minha Mãe em casa de novo, hein, garoto? Só queria que pudesse ter me contado sobre ela antes.
CerberusPostEnding02|Cerberus Post Ending 02|Storyteller|{#DialogueItalicFormat}O monstro infernal Cérbero se contenta em ignorar o comentário caloso e inconsiderado do Príncipe.
CerberusExtremeMeasuresReaction01|Cerberus Extreme Measures Reaction 01|Zagreus|{#DialogueItalicFormat}Ui{#PreviousFormat}, você me deu uma lição lá em cima, garoto. Lá fora, com meu Pai? Sei que estava só brincando mas... pega leve comigo na próxima, tá bom?
CerberusExtremeMeasuresReaction01|Cerberus Extreme Measures Reaction 01|Storyteller|{#DialogueItalicFormat}O obstinado monstro Cérbero é completamente incapaz de demonstrar autocontrole ou remorso por suas falhas.
CerberusPostEpilogue01|Cerberus Post Epilogue 01|Zagreus|Estamos orgulhosos de você, garoto! Você se comportou muito bem no banquete. Eu estava morrendo de medo de algum dos tios te irritar em algum momento, mas você foi o cúmulo da paciência. Obrigado por ajudar a divertir nossa grande família!
CerberusPostEpilogue01|Cerberus Post Epilogue 01|Storyteller|{#DialogueItalicFormat}O motivo do atroz Cérbero, cão do inferno, conseguir manter-se civilizado durante todo o banquete continua um mistério para todos que participaram.
CerberusChat02|Cerberus Chat 02|Storyteller|{#DialogueItalicFormat}O Príncipe e Cérbero trocam um olhar.
CerberusChat03|Cerberus Chat 03|Storyteller|{#DialogueItalicFormat}O cão de guarda Cérbero observa o Príncipe.
CerberusChat04|Cerberus Chat 04|Storyteller|{#DialogueItalicFormat}Cérbero não pode ser incomodado no momento.
CerberusChat05|Cerberus Chat 05|Storyteller|{#DialogueItalicFormat}Cérbero está confortavelmente em repouso, observando tudo.
CerberusChat06|Cerberus Chat 06|Storyteller|{#DialogueItalicFormat}Cérbero está, como sempre, ao pé do trono de seu Lorde e Mestre.
CerberusChat07|Cerberus Chat 07|Storyteller|{#DialogueItalicFormat}Cérbero não tenta se mover.
CerberusChat08|Cerberus Chat 08|Storyteller|{#DialogueItalicFormat}Cérbero está ocupado considerando o que mais deve roer.
